"meta_score","title","platform","user_score"
73,"Yoshi Touch & Go","DS",6.8
46,"Pokemon Dash","DS",5.3
80,"Donkey Kong Jungle Beat","GC",8.3
81,"WarioWare: Touched!","DS",8.2
67,"Star Fox: Assault","GC",8.2
89,"The Legend of Zelda: The Minish Cap","GBA",8.9
71,"Mario Party 6","GC",7.9
79,"Final Fantasy I & II: Dawn of Souls","GBA",8
85,"Super Mario 64 DS","DS",8.3
92,"Metroid Prime 2: Echoes","GC",8.9
80,"Donkey Kong Country 2","GBA",8.6
80,"Mario Power Tennis","GC",8.5
66,"Classic NES Series: Dr. Mario","GBA",8.2
74,"Classic NES Series: Castlevania","GBA",8.6
73,"Classic NES Series: Zelda II: The Adventure of Link","GBA",7
58,"Classic NES Series: Metroid","GBA",8.2
80,"Kirby & the Amazing Mirror","GBA",8.6
87,"Paper Mario: The Thousand-Year Door","GC",9.1
62,"Mario Pinball Land","GBA",4.2
76,"Donkey Konga","GC",7.9
77,"F-Zero GP Legend","GBA",8.3
81,"Pokemon FireRed Version","GBA",8.6
81,"Pokemon LeafGreen Version","GBA",8.5
90,"Pikmin 2","GC",9.1
77,"Hamtaro: Ham-Ham Games","GBA",8.3
84,"Mario Golf: Advance Tour","GBA",8.5
86,"The Legend of Zelda: Four Swords Adventures","GC",7.6
66,"Classic NES Series: Ice Climber","GBA",7.8
66,"Classic NES Series: Excitebike","GBA",7.8
84,"Classic NES Series: Super Mario Bros.","GBA",8.4
84,"Classic NES Series: The Legend of Zelda","GBA",8.4
55,"Classic NES Series: Donkey Kong","GBA",6.1
53,"Classic NES Series: Pac-Man","GBA",7.8
81,"Mario vs. Donkey Kong","GBA",8.2
65,"Custom Robo","GC",8.1
76,"WarioWare, Inc.: Mega Party Game$!","GC",8
73,"Pokemon Colosseum","GC",8
80,"Final Fantasy Crystal Chronicles","GC",8.9
89,"Metroid: Zero Mission","GBA",9.1
78,"Pac-Man vs.","GC",8.3
73,"1080: Avalanche","GC",7.8
72,"Sword of Mana","GBA",8.5
55,"Pokemon Channel","GC",6.4
87,"Mario Kart: Double Dash!!","GC",8.6
90,"Mario & Luigi: Superstar Saga","GBA",8.8
95,"The Legend of Zelda Collector's Edition","GC",8.9
69,"Mario Party 5","GC",7.7
88,"Fire Emblem","GBA",9.1
78,"Top Gear Rally","GBA",7.5
94,"Super Mario Advance 4: Super Mario Bros. 3","GBA",9.1
61,"Kirby Air Ride","GC",8.2
87,"Final Fantasy Tactics Advance","GBA",9
89,"F-Zero GX","GC",8.6
81,"Pokemon Pinball: Ruby & Sapphire","GBA",7.7
81,"Mario Golf: Toadstool Tour","GC",8.1
71,"Wario World","GC",7.6
89,"Advance Wars 2: Black Hole Rising","GBA",8.8
78,"Donkey Kong Country","GBA",8.7
89,"WarioWare, Inc.: Mega Microgame$!","GBA",8.6
86,"Golden Sun: The Lost Age","GBA",9
72,"Hamtaro: Ham Ham Heartbreak","GBA",8.4
96,"The Legend of Zelda: The Wind Waker","GC",9
82,"Pokemon Ruby Version","GBA",8.5
91,"The Legend of Zelda: Ocarina of Time / Master Quest","GC",8.9
95,"The Legend of Zelda: A Link to the Past","GBA",9
81,"Kirby: Nightmare in Dream Land","GBA",8.6
97,"Metroid Prime","GC",9
92,"Metroid Fusion","GBA",9
71,"Cubivore: Survival of the Fittest","GC",8.1
71,"Game & Watch Gallery 4","GBA",8.1
70,"Mario Party 4","GC",7.7
91,"Yoshi's Island: Super Mario Advance 3","GBA",9.1
82,"Star Fox Adventures","GC",8
87,"Animal Crossing","GC",8.8
92,"Super Mario Sunshine","GC",8.3
50,"Disney's Magical Mirror Starring Mickey Mouse","GC",7.6
92,"Eternal Darkness: Sanity's Requiem","GC",8.8
92,"Super Mario World: Super Mario Advance 2","GBA",9.1
71,"NBA Courtside 2002","GC",7.4
92,"Super Smash Bros. Melee","GC",9
89,"Pikmin","GC",8.7
88,"Wario Land 4","GBA",8.8
80,"Wave Race: Blue Storm","GC",8
78,"Luigi's Mansion","GC",8.6
91,"Golden Sun","GBA",9
92,"Advance Wars","GBA",8.8
93,"Mario Kart Super Circuit","GBA",8
86,"F-Zero: Maximum Velocity","GBA",7.8
84,"Super Mario Advance","GBA",8.2
74,"Mario Party 3","N64",8.2
71,"Dr. Mario 64","N64",7.3
78,"Pokemon Stadium 2","N64",8.4
93,"Paper Mario","N64",9
90,"Banjo-Tooie","N64",8.8
71,"Mickey's Speedway USA","N64",7.7
57,"Hey You, Pikachu!","N64",6.3
95,"The Legend of Zelda: Majora's Mask","N64",9.1
81,"Pokemon Puzzle League","N64",8.4
91,"Mario Tennis","N64",8.7
77,"Kirby 64: The Crystal Shards","N64",8.1
80,"Starcraft 64","N64",7.6
97,"Perfect Dark","N64",8.8
88,"Excitebike 64","N64",8.2
82,"Ridge Racer 64","N64",8.1
91,"Mario Golf","N64",7.8
77,"Pokemon Snap","N64",7.7
79,"Super Smash Bros.","N64",8.6
79,"Mario Party","N64",8
99,"The Legend of Zelda: Ocarina of Time","N64",9.1
85,"F-Zero X","N64",8.7
92,"Banjo-Kazooie","N64",9.2
65,"Yoshi's Story","N64",7.4
88,"Diddy Kong Racing","N64",8.4
96,"GoldenEye 007","N64",8.9
88,"Star Fox 64","N64",8.8
90,"Blast Corps","N64",8.4
83,"Mario Kart 64","N64",8.6
92,"Wave Race 64","N64",8.3
80,"Pilotwings 64","N64",7.9
94,"Super Mario 64","N64",9.1
68,"Wii Karaoke U","WIIU",7.8
